,DIVERSIDADE (DI),DI RELATIVO,FRAC Its,VELOC FOBJ,VELOC X,NP,Fo,CRo,fmin,fmax,AD_fmin,AD_fmax,F,CR
13,0.14849719071504236,0.016463628946893426,0.6,2.0,1.0,100.0,0.3010879767868227,0.47674649564481,0.0061544114101779,0.07415439662722348,0.0005289144171627153,0.0009008850118874803,0.4500797643195917,0.3005031164728735
14,0.06330359739660936,0.007018361313927081,0.7,2.0,1.0,100.0,0.4500797643195917,0.3005031164728735,0.0010971257426671515,0.008486749695430562,9.428775297299045e-05,0.00010310360474900273,0.3205997878963483,0.4962288578295192
15,0.035263538408565026,0.003909608046573837,0.8,2.0,1.0,100.0,0.3205997878963483,0.4962288578295192,0.00017128076142080168,0.0027885410701246004,1.4719988323863244e-05,3.387735548219224e-05,0.35923710998077424,0.3055030327197165
16,0.021075857248317568,0.0023366441600894622,0.9,1.0,1.0,100.0,0.35923710998077424,0.3055030327197165,0.00011286822373206565,0.0011105659095563573,9.699974017452114e-06,1.349201433951402e-05,0.2591681181313378,0.14925865316288506
17,0.00903485174306588,0.001001678523154461,1.0,2.0,1.0,100.0,0.2591681181313378,0.14925865316288506,1.494007611757866e-05,0.0005020443130438291,1.283960581352702e-06,6.099222938839067e-06,0.2950970189757653,0.3581612417549679
18,1175.753473048468,1.3004546647307518,0.2,1.0,2.0,100.0,0.947197191098774,0.3599867309683453,1690.132033842916,3612.905479511036,0.8396007842180699,0.8849742216809025,0.6670592165205713,0.05432488091850518
19,1213.598035839352,1.3423130469037572,0.3,1.0,2.0,100.0,0.6670592165205713,0.05432488091850518,1378.3132971354519,3074.298534669588,0.6846997169457085,0.7530434904436439,0.7937507496384594,0.23581756260592346
20,1233.6036025887192,1.3644404173059406,0.4,1.0,2.0,100.0,0.7937507496384594,0.23581756260592346,1368.3633290817606,2796.782754412451,0.6797569072636571,0.6850665358761898,0.6177081837954878,0.3755776722336761
21,1243.7291031960026,1.3756398352105579,0.5,1.0,2.0,100.0,0.6177081837954878,0.3755776722336761,1226.7326674208412,2618.9418376485933,0.6093995551640967,0.6415047466767079,0.7283182103517296,0.4718631639860928
22,1266.6283405096754,1.4009677807926633,0.6,0.0,0.0,100.0,0.7283182103517296,0.4718631639860928,1226.7326674208412,2408.1052979231304,0.6093995551640967,0.58986074333824,0.6715978158433188,0.332030725206283
23,1285.2829095375905,1.4216008657607175,0.7,1.0,2.0,100.0,0.6715978158433188,0.332030725206283,961.893969518027,2332.329047836366,0.4778365920357606,0.5712994971825539,0.6242856792267697,0.03867842579938102
24,1308.3638173942286,1.4471297499838374,0.8,1.0,2.0,100.0,0.6242856792267697,0.03867842579938102,893.3893676947333,2263.6092507656867,0.4438058084864975,0.5544667155690906,0.9896255993278232,0.36459758047278623
25,1295.4858950416406,1.4328859866615469,0.9,1.0,2.0,100.0,0.9896255993278232,0.36459758047278623,670.8380808674456,2037.172246226247,0.3332498097790628,0.4990014084946398,0.5406370220766126,0.3004029062634635
26,1241.7892248786466,1.3734942121146936,1.0,1.0,2.0,100.0,0.5406370220766126,0.3004029062634635,571.501282515334,1795.4503543770193,0.28390262735302,0.4397920977845636,0.7752957572826753,0.07298829608869245
27,6.731060500135965,0.7398638724492609,0.2,1.0,2.0,100.0,0.5294720250652235,0.3287003634418601,48.53227806820588,148.95549127565738,0.8911445747299084,0.8899544582072948,0.9331882441217898,0.4531862205813965
28,5.730290135903831,0.6298613197908368,0.3,1.0,2.0,100.0,0.9331882441217898,0.4531862205813965,37.353388730421926,135.527560930648,0.6858789869313742,0.809727496631753,0.8756545585672859,0.15274738420922215
29,5.136260075449084,0.5645667973496198,0.4,1.0,2.0,100.0,0.8756545585672859,0.15274738420922215,24.95838349272512,130.26914520208422,0.4582832071536572,0.7783103902151635,0.7802422778187171,0.08548241403591582
30,4.905690171997627,0.5392230433253614,0.5,0.0,0.0,100.0,0.7802422778187171,0.08548241403591582,24.95838349272512,99.1141784682191,0.4582832071536572,0.5921708843624218,0.7662762060859616,0.4996953000747468
31,4.748574293306203,0.5219531996759755,0.6,0.0,0.0,100.0,0.7662762060859616,0.4996953000747468,24.95838349272512,88.42841215099979,0.4582832071536572,0.5283273476661363,0.959341417008926,0.3675216528447304
32,4.414162048781509,0.4851953160967845,0.7,1.0,2.0,100.0,0.959341417008926,0.3675216528447304,21.66776314236625,79.1098103929524,0.3978611831020148,0.4726521180535179,0.7080191715610009,0.17973075210706888
33,3.9994766479678483,0.4396139776898616,0.8,1.0,2.0,100.0,0.7080191715610009,0.17973075210706888,20.49350612184413,71.98411806383082,0.37629959945440267,0.430078718430542,0.6588620887968093,0.08500085066512998
34,3.6257855250489057,0.3985386432314748,0.9,1.0,2.0,100.0,0.6588620887968093,0.08500085066512998,18.203200562691666,67.6910164032796,0.3342452501686733,0.4044290097180638,0.6949343335258761,0.1743304933768251
35,3.6547971134747006,0.40172753540651596,1.0,1.0,2.0,100.0,0.6949343335258761,0.1743304933768251,9.839739177306283,56.257782842644865,0.1806762536943072,0.3361196302391819,0.9867988556819446,0.29513929590273913
36,0.7607344677103444,0.423960515705445,0.2,2.0,2.0,100.0,0.3178238909702775,0.05972714916744126,8.056313549437491e-05,0.8726062564731866,0.002970363787783301,0.3668469912511565,0.1906569371340245,0.2446052748156649
37,0.5135801035358623,0.286220349929018,0.3,2.0,1.0,100.0,0.1906569371340245,0.2446052748156649,2.6568523511741055e-05,0.44342763208284897,0.0009795817857617406,0.18641866415751104,0.4738738996334762,0.16598203653958032
38,0.30768020998461315,0.1714714739954492,0.4,2.0,2.0,100.0,0.4738738996334762,0.16598203653958032,3.851461655996037e-06,0.0401242962575655,0.00014200343820785512,0.016868406854713216,0.2714107286653299,0.2562632381632141
39,0.2237782562370748,0.1247125625889994,0.5,2.0,2.0,100.0,0.2714107286653299,0.2562632381632141,5.20972388595505e-07,0.040092588460818236,1.920825831843531e-05,0.016855076776284776,0.4055136462738512,0.04993907764049188
40,0.19980789880849031,0.11135378166291156,0.6,2.0,2.0,100.0,0.4055136462738512,0.04993907764049188,6.82261558015607e-08,1.5366788220900633e-05,2.515499196115168e-06,6.4602562521328104e-06,0.4814722687726932,0.4607642912937909
41,0.15557975499221918,0.08670525125324373,0.7,2.0,1.0,100.0,0.4814722687726932,0.4607642912937909,2.804558975918709e-09,1.2920039387898304e-05,1.0340412363112664e-07,5.431633730719837e-06,0.4576316364410633,0.2177123834858552
42,0.10188421482092863,0.056780501069884526,0.8,2.0,2.0,100.0,0.4576316364410633,0.2177123834858552,1.5067203468205687e-10,8.915859538607252e-07,5.555279755496361e-09,3.748261282672224e-07,0.1414405452068318,0.27348650851701906
43,0.06248717875418945,0.034824367310896664,0.9,2.0,1.0,100.0,0.1414405452068318,0.27348650851701906,1.0626345960106317e-11,2.237963674783961e-07,3.91793505089695e-10,9.408484462878763e-08,0.02642331346547269,0.19590657773674186
