,DI RELATIVO,FRAC Its,VELOC FOBJ,VELOC X,DELTA FOBJ,DELTA VX
108,1.017840523484185,0.0826,0.0,0.0,0.0,0.0
109,1.0315694927450187,0.1938,0.0,0.0,0.0,0.0
110,0.9424411879720178,0.3104,1.0,2.0,1.0,2.0
111,0.9220330382944631,0.4256,1.0,2.0,0.0,0.0
112,0.9099915293515738,0.5466,1.0,2.0,0.0,0.0
113,0.9184053523605522,0.6866,0.0,0.0,-1.0,-2.0
114,0.8564325891959408,0.815,1.0,2.0,1.0,2.0
115,0.8230039389767325,0.948,1.0,0.0,0.0,-2.0
116,0.8359066634431258,1.0000200000000001,1.0,0.0,0.0,0.0
117,1.11611167423949,0.10359964881474977,0.0,0.0,0.0,0.0
118,1.1573118323338178,0.23748902546093065,1.0,0.0,1.0,0.0
119,1.1695526472007312,0.2969710272168569,1.0,0.0,0.0,0.0
120,1.2023552564537785,0.4492976294995609,1.0,2.0,0.0,2.0
121,1.2201044391515616,0.5741878841088675,1.0,2.0,0.0,0.0
122,1.2292853928085972,0.6738366988586479,1.0,2.0,0.0,0.0
123,1.2391575650218944,0.7418788410886743,1.0,2.0,0.0,0.0
124,1.250936567416061,0.8911325724319579,1.0,0.0,0.0,-2.0
125,1.248427511054624,0.9356892010535558,0.0,2.0,-1.0,2.0
126,0.9748408562299544,0.0442,0.0,0.0,0.0,0.0
127,0.9216993555566112,0.1794,2.0,2.0,2.0,2.0
128,0.8708131956918868,0.2704,1.0,2.0,-1.0,0.0
129,0.7902842665167592,0.4046,1.0,2.0,0.0,0.0
130,0.7899640246188392,0.5288,0.0,0.0,-1.0,-2.0
131,0.7789378587651671,0.6812,1.0,0.0,1.0,0.0
132,0.7668273808344093,0.8052,0.0,0.0,-1.0,0.0
133,0.7636330465445755,0.885,0.0,2.0,0.0,2.0
134,0.7643135659724396,0.9756,0.0,2.0,0.0,0.0
